Age,Gender,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,Seasons,LodgingLocation,LodgingType
22,Female,Urban,Student,Single,B40,Yes,Holiday,5,3,5,500,"Year-round, I travel regularly",Nature,Airbnb
18,Male,Urban,Student,Single,B40,No,Holiday,5,3,4,300,Winter,Countryside,Hotels
21,Female,Urban,Student,Single,T20,No,Holiday,3,3,10,450,Autumn,Nature,Airbnb
22,Female,Urban,Employed full-time,Single,B40,No,Businesses,4,3,4,200,Summer,Countryside,Airbnb
18,Male,Urban,Student,Single,M40,No,Holiday,2,2,6,200,Winter,Beachfront,Airbnb
22,Female,Urban,Student,Single,B40,No,Holiday,4,3,4,450,Summer,Countryside,Airbnb
21,Male,Rural,Student,Single,T20,No,Holiday,1,3,5,250,Winter,Nature,Airbnb
35,Female,Rural,Employed full-time,Married,M40,No,Both,1,5,6,650,Summer,Beachfront,Hotels
22,Female,Urban,Student,Single,M40,No,Holiday,2,4,6,700,Summer,City Centers,Hotels
34,Male,Urban,Employed part-time,Single,B40,Yes,Both,3,3,8,400,Winter,Countryside,Airbnb
22,Female,Urban,Student,Single,B40,No,Holiday,3,4,10,400,Summer,Nature,Airbnb
32,Female,Urban,Employed full-time,Married,M40,Yes,Both,5,3,2,600,"Year-round, I travel regularly",City Centers,Hotels
22,Female,Urban,Student,Single,M40,Yes,Holiday,3,2,5,200,"Year-round, I travel regularly",Countryside,Airbnb
20,Male,Urban,Employed full-time,Single,B40,Yes,Holiday,3,5,10,350,Winter,Nature,Airbnb
23,Female,Rural,Student,Single,B40,Yes,Holiday,2,3,6,200,Spring,Nature,Airbnb
30,Male,Urban,Employed full-time,Single,T20,No,Holiday,3,2,1,750,Summer,Beachfront,Hotels
21,Female,Urban,Student,Single,B40,No,I don't travel,0,3,3,150,Spring,Nature,Airbnb
22,Female,Urban,Employed full-time,Single,M40,Yes,Holiday,2,3,5,400,Autumn,Nature,Airbnb
20,Female,Urban,Student,Single,B40,Yes,Holiday,5,4,4,200,Summer,Countryside,Airbnb
38,Female,Urban,Employed full-time,Married,T20,Yes,Both,5,3,4,800,"Year-round, I travel regularly",Beachfront,Hotels
17,Female,Rural,Student,Single,M40,No,Holiday,5,4,5,200,Winter,Countryside,Airbnb
22,Female,Rural,Employed full-time,Single,B40,No,Holiday,3,2,5,350,Spring,Countryside,Airbnb
23,Female,Urban,Student,Single,B40,No,Holiday,7,3,7,700,Spring,Nature,Airbnb
21,Female,Urban,Employed full-time,Single,M40,No,Holiday,3,3,6,300,Autumn,Nature,Airbnb
22,Female,Urban,Employed full-time,Single,T20,No,Holiday,4,3,4,800,Autumn,Beachfront,Hotels
28,Female,Urban,Student,Single,B40,No,Businesses,1,4,3,300,Winter,Nature,Airbnb
22,Male,Rural,Student,Single,T20,Yes,Holiday,5,3,6,450,Autumn,Nature,Airbnb
24,Male,Urban,Employed full-time,Single,B40,Yes,Holiday,1,5,6,300,Autumn,Countryside,Hotels
21,Female,Urban,Student,Single,B40,No,Holiday,3,5,3,350,Summer,Countryside,Airbnb
62,Female,Urban,Employed part-time,Married,M40,Yes,Businesses,10,3,5,450,"Year-round, I travel regularly",City Centers,Hotels
26,Female,Urban,Employed full-time,Single,T20,No,Holiday,2,3,4,800,Spring,City Centers,Hotels
62,Male,Urban,Employed full-time,Married,T20,Yes,Both,24,3,2,750,"Year-round, I travel regularly",City Centers,Hotels
22,Female,Urban,Student,Single,B40,No,I don't travel,2,2,8,100,Summer,Nature,Airbnb
23,Male,Rural,Student,Single,B40,No,Holiday,2,4,6,200,Winter,Countryside,Airbnb
35,Female,Urban,Employed full-time,Single,T20,Yes,Both,7,14,3,1000,Winter,City Centers,Hotels
26,Female,Urban,Employed full-time,Single,B40,No,I don't travel,0,4,5,500,Summer,Nature,Airbnb
37,Male,Urban,Employed full-time,Married,T20,Yes,Holiday,16,21,2,750,"Year-round, I travel regularly",Beachfront,Hotels
21,Female,Urban,Employed part-time,Single,B40,Yes,Holiday,6,7,2,800,"Year-round, I travel regularly",City Centers,Hotels
22,Female,Urban,Student,Single,T20,Yes,Businesses,2,3,2,350,"Year-round, I travel regularly",City Centers,Hotels
23,Female,Urban,Employed full-time,Single,T20,No,Holiday,3,3,5,600,Spring,Beachfront,Hotels
22,Female,Urban,Student,Single,B40,Yes,Holiday,4,5,5,300,"Year-round, I travel regularly",Countryside,Airbnb
45,Male,Urban,Employed full-time,Married,B40,Yes,Holiday,12,10,2,700,Winter,City Centers,Hotels
29,Male,Rural,Student,Single,M40,No,Holiday,3,2,5,600,Summer,Beachfront,Hotels
